ItemID,ItemName,Category,Stock,Price,Version
1,INFLATABLE POLITICAL GLOBE ,Electronics,17,1.06,0
2,GROOVY CACTUS INFLATABLE,Electronics,42,0.38,0
3,DOGGY RUBBER,Electronics,83,0.21,0
4,HEARTS WRAPPING TAPE ,Electronics,77,0.49,0
5,SPOTS ON RED BOOKCOVER TAPE,Electronics,75,0.42,0
6,ARMY CAMO BOOKCOVER TAPE,Electronics,33,0.42,0
7,MINI FUNKY DESIGN TAPES,Electronics,69,0.86,0
8,COLOURING PENCILS BROWN TUBE,Electronics,82,0.65,0
9,COLOURING PENCILS BROWN TUBE,Electronics,26,1.41,0
10,ASSTD DESIGN RACING CAR PEN,Electronics,48,1.88,0
11,FAN BLACK FRAME ,Electronics,17,0.27,0
12,PAPER POCKET TRAVELING FAN ,Electronics,63,0.37,0
13,ASSORTED COLOURS SILK FAN,Electronics,66,1.06,0
14,SANDALWOOD FAN,Electronics,99,1.23,0
15,PINK PAPER PARASOL ,Electronics,85,3.66,0
16,BLUE PAPER PARASOL ,Electronics,10,3.44,0
17,PURPLE PAPER PARASOL,Electronics,33,3.82,0
18,RED PAPER PARASOL,Electronics,47,3.32,0
19,EDWARDIAN PARASOL BLACK,Electronics,70,6.42,0
20,EDWARDIAN PARASOL NATURAL,Electronics,21,6.93,0
21,EDWARDIAN PARASOL PINK,Electronics,58,6.33,0
22,EDWARDIAN PARASOL BLACK,Electronics,38,12.49,0
23,EDWARDIAN PARASOL NATURAL,Electronics,100,12.48,0
24,EDWARDIAN PARASOL PINK,Electronics,27,12.5,0
25,BLUE POLKADOT GARDEN PARASOL,Electronics,79,8.94,0
26,PINK POLKADOT GARDEN PARASOL,Electronics,84,9.74,0
27,ICE CREAM DESIGN GARDEN PARASOL,Electronics,84,9.21,0
28,FAIRY CAKE DESIGN UMBRELLA,Electronics,96,4.91,0
29,FAIRY CAKE DESIGN UMBRELLA,Electronics,72,8.29,0
30,SMALL FOLDING SCISSOR(POINTED EDGE),Electronics,52,0.13,0
31,FOLDING CAMPING SCISSOR W/KNIF & S,Electronics,58,0.09,0
32,ANIMAL STICKERS,Electronics,71,0.21,0
33,FOOD/DRINK SPONGE STICKERS,Electronics,78,0.21,0
34,SMALL CHINESE STYLE SCISSOR,Electronics,100,0.4,0
35,MEDIUM CHINESE STYLE SCISSOR,Electronics,27,0.43,0
36,LARGE CHINESE STYLE SCISSOR,Electronics,54,0.85,0
37,CLEAR STATIONERY BOX SET ,Electronics,52,0.75,0
38,MINI HIGHLIGHTER PENS,Electronics,53,0.1,0
39,POP ART PUSH DOWN RUBBER ,Electronics,22,0.08,0
40,POPART WOODEN PENCILS ASST,Electronics,98,0.04,0
41,TEATIME PEN CASE & PENS,Electronics,82,0.8,0
42,TEATIME ROUND PENCIL SHARPENER ,Electronics,24,0.33,0
