protocol,conflict_density,abort_rate,throughput,avg_latency_ms,avg_restarts,timestamp
2PL,0.1,0.0222,90.51,331.47,0.0222,2026-06-03T22:10:28.998612
2PL,0.3,0.1667,83.35,359.94,0.1667,2026-06-03T22:10:31.063107
2PL,0.5,0.2556,76.23,393.53,0.3889,2026-06-03T22:10:33.331632
2PL,0.7,0.3889,66.42,451.64,0.5667,2026-06-03T22:10:35.888288
2PL,0.9,0.7889,26.95,1100.91,1.9556,2026-06-03T22:10:40.979159
TO,0.1,0.0111,92.03,325.97,0.0111,2026-06-03T22:10:47.667793
TO,0.3,0.0778,90.72,330.71,0.0778,2026-06-03T22:10:49.395126
TO,0.5,0.1889,81.27,369.14,0.2556,2026-06-03T22:10:51.348191
TO,0.7,0.5,53.17,564.27,0.8444,2026-06-03T22:10:54.255813
TO,0.9,0.6667,35.8,838.08,1.5556,2026-06-03T22:10:58.295334
